"Resistance	Watermark"
"37412.2351907631	238.000664228952"
"37612.1134538153	236.98615575636"
"37811.9917168675	235.980832621528"
"38011.8699799197	234.984998805736"
"38211.7482429719	233.999136932711"
"38411.6265060241	233.021143856991"
"38611.5047690763	232.055483854843"
"38811.3830321285	231.098929173477"
"39011.2612951807	230.15317767626"
"39211.1395582329	229.218685524438"
"39411.0178212851	228.296279000249"
"39610.8960843373	227.388633118793"
"39810.7743473896	226.491672284166"
"40010.6526104418	225.610438749449"
"40210.530873494	224.742133432017"
"40410.4091365462	223.888934023438"
"40610.2873995984	223.052836884846"
"40810.1656626506	222.230328926242"
"41010.0439257028	221.424966051141"
"41209.922188755	220.632480474926"
"41409.8004518072	219.854236169742"
"41609.6787148594	219.088610653276"
"41809.5569779116	218.334306443716"
"42009.4352409639	217.591696044972"
"42209.3135040161	216.854206237211"
"42409.1917670683	216.121016573403"
"42609.0700301205	215.390985131293"
"42808.9482931727	214.661359203425"
"43008.8265562249	213.927255291295"
"43208.7048192771	213.18645350816"
"43408.5830823293	212.435948545977"
"43608.4613453815	211.675603020416"
"43808.3396084337	210.906866078256"
"44008.2178714859	210.122995716069"
"44208.0961345382	209.332561580371"
"44407.9743975904	208.535407064213"
"44607.8526606426	207.727766895367"
"44807.7309236948	206.920205664894"
"45007.609186747	206.118837151223"
"45207.4874497992	205.321517344617"
"45407.3657128514	204.553845511169"
"45607.2439759036	203.808406678896"
"45807.1222389558	203.097656110251"
"46007.000502008	202.437402517162"
"46206.8787650602	201.815670983086"
"46406.7570281124	201.248503237453"
"46606.6352911647	200.725351126797"
"46806.5135542169	200.23167845271"
"47006.3918172691	199.768235515103"
"47206.2700803213	199.297653854899"
"47406.1483433735	198.799552130129"
"47606.0266064257	198.236681588862"
"47805.9048694779	197.556998798149"
"48005.7831325301	196.71364746261"
"48205.6613955823	195.669791479166"
"48405.5396586345	194.386823419407"
"48605.4179216867	192.899399092734"
"48805.296184739	191.217366927351"
"49005.1744477912	189.529470941849"
"49205.0527108434	188.071558486679"
"49404.9309738956	187.316394661066"
"49604.8092369478	187.952334932153"
"49804.6875	191.057324554396"
