"Resistance	Watermark"
"35	10471.0447369443"
"234.878263052209	8755.88142083403"
"434.756526104418	7388.07598278085"
"634.634789156627	6297.22546414647"
"834.513052208835	5426.40606498543"
"1034.39131526104	4729.78969655002"
"1234.26957831325	4170.64541440884"
"1434.14784136546	3719.66937210562"
"1634.02610441767	3353.59437905108"
"1833.90436746988	3054.03670784138"
"2033.78263052209	2806.54356876376"
"2233.6608935743	2599.80973745614"
"2433.53915662651	2425.03626207717"
"2633.41741967871	2275.40805809691"
"2833.29568273092	2145.67058437575"
"3033.17394578313	2031.78873983891"
"3233.05220883534	1930.67367642045"
"3432.93047188755	1839.96543655331"
"3632.80873493976	1757.86123314867"
"3832.68699799197	1682.98083330399"
"4032.56526104418	1614.26191659884"
"4232.44352409639	1550.87948396134"
"4432.32178714859	1492.18441970509"
"4632.2000502008	1437.65718055913"
"4832.07831325301	1386.87332184201"
"5031.95657630522	1339.47819051968"
"5231.83483935743	1295.16863376407"
"5431.71310240964	1253.68000393178"
"5631.59136546185	1214.77709901971"
"5831.46962851406	1178.24797252138"
"6031.34789156627	1143.89978772"
"6231.22615461847	1111.5560871022"
"6431.10441767068	1081.05500497656"
"6630.98268072289	1052.2480767607"
"6830.8609437751	1024.9993971633"
"7030.73920682731	999.184956223964"
"7230.61746987952	974.692040892369"
"7430.49573293173	951.418633846866"
"7630.37399598394	929.272773465274"
"7830.25225903615	908.171861658891"
"8030.13052208835	888.041921689866"
"8230.00878514056	868.81681776302"
"8429.88704819277	850.437453546834"
"8629.76531124498	832.850968910192"
"8829.64357429719	816.009954032999"
"9029.5218373494	799.871698346118"
"9229.40010040161	784.397489092949"
"9429.27836345382	769.55197108145"
"9629.15662650602	755.302575858857"
"9829.03488955823	741.619025159649"
"10028.9131526104	728.472910402606"
"10228.7914156627	715.83734731199"
"10428.6696787149	703.686702343237"
"10628.5479417671	691.996385798728"
"10828.4262048193	680.742705060269"
"11028.3044678715	669.902770408169"
"11228.1827309237	659.454445349"
"11428.0609939759	649.376333107046"
"11627.9392570281	639.647791115764"
"11827.8175200803	630.248965560317"
"12027.6957831325	621.16083894463"
"12227.5740461847	612.36528373806"
"12427.4523092369	603.845116831271"
"12627.3305722892	595.584149610537"
"12827.2088353414	587.567230009521"
"13027.0870983936	579.78027349046"
"13226.9653614458	572.21028084566"
"13426.843624498	564.845341600336"
"13626.7218875502	557.674622628821"
"13826.6001506024	550.688341800516"
